ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
29,15700,4,0.17,0.25,0.1,0.209297,0.193591,0.198314,0.25096,1,0,2515.939818,1.572462,301.62638,1461.43092,111.288218,120.317072,30.908045,39.113045,1159.80454,527.254449,527.254449,s15671i29d112.jpg,1026000,403783.415869,622261.268879,30042.450733,2,1,7043.974244,-57035.292606,ID29.png
30,15701,3,0.17,0.25,0.1,0.392146,0.193591,0.198314,0.25096,1,0,3313.212166,2.070758,333.58889,1233.996582,79.993055,162.037137,40.414972,51.143726,900.407692,1039.607792,1039.607792,s15671i30d36.jpg,1248900,459271.356252,789579.15079,40013.182166,2,1,8783.387118,-67629.110852,ID30.png
31,15702,5,0.17,0.25,0.1,0.392146,0.271955,0.302799,0.25096,1,0,3214.911787,2.00932,638.001711,1981.394664,212.066107,324.922024,61.893023,39.120557,1343.392953,616.758561,616.758561,s15671i31d150.jpg,1610300,525180.22874,1085100,39776.132716,2,1,8705.377437,-67703.880124,ID31.png
32,15703,3,0.17,0.25,0.1,0.224995,0.271955,0.302799,0.25096,1,0,2656.520628,1.660325,281.710793,1080.110123,83.056209,68.714448,71.05217,58.887966,798.39933,788.205253,788.205253,s15671i32d45.jpg,590900.188093,12793.834383,578106.35371,14060.450685,1,3,188423.294952,-226340.663048,ID32.png
33,15704,5,0.17,0.25,0.1,0.224995,0.200319,0.302799,0.155445,1,0,2694.512381,1.68407,360.27085,1654.493609,138.011852,127.994231,77.525899,16.738868,1294.22276,520.009386,520.009386,s15671i33d165.jpg,629246.434072,-25786.238965,655032.673037,13391.267774,1,3,229392.044705,-262546.744731,ID33.png
34,15705,3,0.17,0.25,0.1,0.407844,0.200319,0.207284,0.155445,1,0,3755.226904,2.347017,364.701373,1364.316543,79.394668,206.753949,61.48358,17.069176,999.615171,1195.45518,1195.45518,s15671i34d45.jpg,796997.953934,-4076.632623,801074.586557,18963.361335,1,3,257655.021167,-306295.208262,ID34.png
35,15706,5,0.17,0.25,0.1,0.407844,0.200319,0.207284,0.155445,1,0,3372.560068,2.10785,569.785116,2066.061945,159.216604,324.16083,49.378329,37.029353,1496.276829,653.249061,653.249061,s15671i35d170.jpg,896676.286697,-33581.50444,930257.791137,15555.827958,1,3,272642.867836,-309412.059263,ID35.png
36,15707,3,0.17,0.25,0.1,0.240693,0.278683,0.207284,0.25993,1,0,3088.163723,1.930102,303.979216,1215.865526,106.556659,92.030933,46.758075,58.63355,911.886309,936.149099,936.149099,s15671i36d51.jpg,664419.246542,3516.818335,660902.428207,15892.577844,1,3,216090.877262,-257910.403527,ID36.png
37,15708,5,0.17,0.25,0.1,0.240693,0.278683,0.31177,0.25993,1,0,3207.53768,2.004711,519.686706,1963.48194,221.428072,191.24316,58.359618,48.655856,1443.795234,622.02787,622.02787,s15671i37d135.jpg,1384700,524660.243718,860036.8848,40621.657369,0,1,8991.29692,-70115.733398,ID37.png
38,15709,4,0.17,0.25,0.1,0.240693,0.207046,0.31177,0.25993,1,0,3528.233909,2.205146,417.054716,1740.356846,134.332637,156.162553,69.017735,57.541791,1323.30213,893.938531,893.938531,s15671i38d76.jpg,1451800,524651.610771,927178.6705,44483.57685,0,1,9565.583878,-71053.730309,ID38.png
